[run] device=cpu  seed=31  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_mlp80_lr1__dir0.1__seed31
[run] model=mlp  params=3,362
  round   1/50: acc=0.4711  f1m=0.3288  uplink_kB=131.3  t=1.71s
  round   2/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.87s
  round   3/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round   4/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round   5/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round   6/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.77s
  round   7/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.80s
  round   8/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round   9/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.81s
  round  10/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.91s
  round  11/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.88s
  round  12/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.89s
  round  13/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.85s
  round  14/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.79s
  round  15/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.84s
  round  16/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  17/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.85s
  round  18/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  19/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.84s
  round  20/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.86s
  round  21/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.75s
  round  22/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  23/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.79s
  round  24/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  25/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  26/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.81s
  round  27/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.80s
  round  28/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  29/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.75s
  round  30/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  31/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  32/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.81s
  round  33/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  34/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  35/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.80s
  round  36/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  37/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.81s
  round  38/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.85s
  round  39/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.80s
  round  40/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.80s
  round  41/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  42/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  43/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.84s
  round  44/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  45/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.77s
  round  46/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.82s
  round  47/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.81s
  round  48/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.83s
  round  49/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.80s
  round  50/50: acc=0.5000  f1m=0.3333  uplink_kB=131.3  t=0.79s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_mlp80_lr1__dir0.1__seed31/metrics.json  final_acc=0.5000
