[run] device=cpu  seed=17  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_kan8_lr0p3__dir0.1__seed17
[run] model=kan  params=3,280
  round   1/50: acc=0.2931  f1m=0.2699  uplink_kB=150.2  t=2.60s
  round   2/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.94s
  round   3/50: acc=0.2653  f1m=0.2241  uplink_kB=150.2  t=1.95s
  round   4/50: acc=0.5000  f1m=0.3333  uplink_kB=150.2  t=1.94s
  round   5/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.93s
  round   6/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.88s
  round   7/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.96s
  round   8/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.93s
  round   9/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.94s
  round  10/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.98s
  round  11/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.93s
  round  12/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.93s
  round  13/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.96s
  round  14/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.87s
  round  15/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.94s
  round  16/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.92s
  round  17/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.94s
  round  18/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.93s
  round  19/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.94s
  round  20/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.91s
  round  21/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.18s
  round  22/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.02s
  round  23/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.04s
  round  24/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.09s
  round  25/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.10s
  round  26/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  27/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=1.99s
  round  28/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.06s
  round  29/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  30/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.09s
  round  31/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.10s
  round  32/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.06s
  round  33/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  34/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.00s
  round  35/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.10s
  round  36/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.08s
  round  37/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.06s
  round  38/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.12s
  round  39/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.04s
  round  40/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.09s
  round  41/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  42/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.08s
  round  43/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  44/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  45/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.09s
  round  46/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.05s
  round  47/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.05s
  round  48/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.07s
  round  49/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.09s
  round  50/50: acc=0.4995  f1m=0.3331  uplink_kB=150.2  t=2.02s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrext_cseciic/lrext_kan8_lr0p3__dir0.1__seed17/metrics.json  final_acc=0.4995
