[run] device=cpu  seed=17  out=/Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_mlp32_lr0p01__dir0.1__seed17
[run] model=mlp  params=1,346
  round   1/50: acc=0.9586  f1m=0.9586  uplink_kB=52.6  t=1.29s
  round   2/50: acc=0.9708  f1m=0.9708  uplink_kB=52.6  t=0.70s
  round   3/50: acc=0.9735  f1m=0.9735  uplink_kB=52.6  t=0.66s
  round   4/50: acc=0.9738  f1m=0.9738  uplink_kB=52.6  t=0.67s
  round   5/50: acc=0.9740  f1m=0.9740  uplink_kB=52.6  t=0.61s
  round   6/50: acc=0.9737  f1m=0.9737  uplink_kB=52.6  t=0.68s
  round   7/50: acc=0.9744  f1m=0.9744  uplink_kB=52.6  t=0.69s
  round   8/50: acc=0.9751  f1m=0.9750  uplink_kB=52.6  t=0.69s
  round   9/50: acc=0.9750  f1m=0.9750  uplink_kB=52.6  t=0.66s
  round  10/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.65s
  round  11/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.67s
  round  12/50: acc=0.9975  f1m=0.9975  uplink_kB=52.6  t=0.62s
  round  13/50: acc=0.9973  f1m=0.9973  uplink_kB=52.6  t=0.68s
  round  14/50: acc=0.9973  f1m=0.9973  uplink_kB=52.6  t=0.69s
  round  15/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.71s
  round  16/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.67s
  round  17/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.68s
  round  18/50: acc=0.9971  f1m=0.9971  uplink_kB=52.6  t=0.63s
  round  19/50: acc=0.9973  f1m=0.9973  uplink_kB=52.6  t=0.67s
  round  20/50: acc=0.9975  f1m=0.9975  uplink_kB=52.6  t=0.68s
  round  21/50: acc=0.9975  f1m=0.9975  uplink_kB=52.6  t=0.65s
  round  22/50: acc=0.9973  f1m=0.9973  uplink_kB=52.6  t=0.67s
  round  23/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.67s
  round  24/50: acc=0.9976  f1m=0.9976  uplink_kB=52.6  t=0.65s
  round  25/50: acc=0.9976  f1m=0.9976  uplink_kB=52.6  t=0.60s
  round  26/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.69s
  round  27/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.67s
  round  28/50: acc=0.9976  f1m=0.9976  uplink_kB=52.6  t=0.71s
  round  29/50: acc=0.9977  f1m=0.9977  uplink_kB=52.6  t=0.66s
  round  30/50: acc=0.9974  f1m=0.9974  uplink_kB=52.6  t=0.65s
  round  31/50: acc=0.9977  f1m=0.9977  uplink_kB=52.6  t=0.71s
  round  32/50: acc=0.9977  f1m=0.9977  uplink_kB=52.6  t=0.60s
  round  33/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.69s
  round  34/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.68s
  round  35/50: acc=0.9976  f1m=0.9976  uplink_kB=52.6  t=0.67s
  round  36/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.69s
  round  37/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.66s
  round  38/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.66s
  round  39/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.64s
  round  40/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.67s
  round  41/50: acc=0.9977  f1m=0.9977  uplink_kB=52.6  t=0.64s
  round  42/50: acc=0.9979  f1m=0.9979  uplink_kB=52.6  t=0.68s
  round  43/50: acc=0.9982  f1m=0.9982  uplink_kB=52.6  t=0.65s
  round  44/50: acc=0.9978  f1m=0.9978  uplink_kB=52.6  t=0.68s
  round  45/50: acc=0.9979  f1m=0.9979  uplink_kB=52.6  t=0.65s
  round  46/50: acc=0.9980  f1m=0.9980  uplink_kB=52.6  t=0.65s
  round  47/50: acc=0.9982  f1m=0.9982  uplink_kB=52.6  t=0.69s
  round  48/50: acc=0.9982  f1m=0.9982  uplink_kB=52.6  t=0.68s
  round  49/50: acc=0.9977  f1m=0.9977  uplink_kB=52.6  t=0.66s
  round  50/50: acc=0.9983  f1m=0.9983  uplink_kB=52.6  t=0.69s
[run] DONE -> /Users/agentra/Documents/hao/working/paper-lab/hao-paper-2026/iotj-fedkan-ids/repo/results/lrsweep_botiot/lrsweep_mlp32_lr0p01__dir0.1__seed17/metrics.json  final_acc=0.9983
